EU	ue
U.S.	bozo
guitar	guitarra
legend	leyenda
Jimi	hendrix
sold	vendido
auction	subasta
late	mediados
musician	músico
favourite	favorito
possessions	posesiones
Florida	florida
restaurant	restaurante
paid	pagado
10,925	alix
pounds	libras
16,935	fio
Ai	ai
no	no
telling	explicándole
penned	escribió
piece	pieza
London	londres
hotel	hotel
stationery	papelería
1966	ferus
At	en
end	comienzo
January	enero
1967	deferencia
concert	concierto
English	español
city	ciudad
Nottingham	salford
he	él
threw	tiró
sheet	cartulina
paper	impreso
into	luego
audience	oyentes
where	donde
retrieved	consultado
fan	fan
Buyers	compradores
also	también
snapped	agarró
up	se
16	ob
items	ítems
were	fueron
put	poner
former	ex
girlfriend	novio
Kathy	kathy
Etchingham	islington
who	quien
lived	vivió
him	él
1969	pumpido
They	éstos
included	incluido
black	black
lacquer	laca
mother	madre
pearl	pearl
inlaid	incrustaciones
box	box
used	utilizado
store	tienda
drugs	drogas
anonymous	anónimo
Australian	australiano
purchaser	comprador
bought	compró
5,060	desglose
7,845	uros
guitarist	guitarrista
died	murió
overdose	sobredosis
1970	uber
aged	edad
27	gru
China	china
says	dice
Taiwan	taiwán
spoils	botín
atmosphere	atmósfera
talks	conversaciones
BEIJING	pekín
Taipei	taipéi
spoiling	estropear
resumption	reanudación
Strait	estrecho
visit	visitar
Ukraine	ucrania
Taiwanese	taiwanés
Vice	vice
President	presidente
Lien	lien
Chan	chan
this	este
week	semana
infuriated	enfureció
Beijing	pekín
Speaking	habla
hours	horas
Chinese	chino
state	estatal
media	prensa
time	tiempo
right	derecha
engage	involucrarse
political	político
Foreign	extranjera
Ministry	ministerio
Shen	sheng
Guofang	xiang
Reuters	reuters
:	ob
necessary	necesario
opening	apertura
disrupted	afectado
authorities	autoridades
State	estatal
quoted	citado
top	top
negotiator	negociador
Tang	tang
Shubei	misha
visiting	visitando
group	grupo
rivals	rivales
hold	retener
Now	ahora
two	dos
sides	lados
...	.
hostility	hostilidad
overseas	extranjero
edition	edición
People	personas
Daily	semanal
saying	diciendo
foreign	extranjera
ministry	ministerio
Television	televisión
interview	entrevista
read	leer
comments	betocg
gave	dio
details	detalles
why	porqué
considered	considerado
considers	considera
renegade	renegado
province	provincia
opposed	oponiéndose
all	todas
gain	conseguir
greater	considerable
international	internacional
recognition	reconocimiento
rival	rival
island	isla
practical	práctico
steps	pasos
towards	hacia
goal	gol
Consultations	gestiones
held	celebrado
set	empezar
format	formato
official	oficial
Xinhua	reuters
agency	agencia
executive	ejecutivo
vice	vice
Association	asociación
Relations	relaciones
Across	través
Straits	estrecho
July	abril
car	coche
registrations	autorizaciones
14.2	salí
pct	pct
yr	yr
/	/
FRANKFURT	frankfurt
first-time	tiempo
motor	automóviles
vehicles	vehículos
jumped	saltó
year-earlier	años
period	periodo
Federal	federal
office	despacho
356,725	lop
new	nueva
cars	coches
registered	registrados
1996	│
304,850	jac
passenger	pasajeros
15,613	soft
trucks	camiones
figures	figuras
represent	representar
13.6	ob
increase	aumento
2.2	avis
decline	declive
1995	<
Motor-bike	bicicleta
registration	registro
rose	rose
32.7	hiram
growth	crecimiento
partly	parcialmente
increased	aumento
number	número
Germans	alemanes
buying	comprando
abroad	extranjero
while	mientras
manufacturers	fabricantes
domestic	doméstica
demand	demanda
weak	débil
federal	federal
Almost	casi
posted	recibí
gains	recupera
numbers	números
Volkswagen	volkswagen
AG	ag
won	ganó
77,719	holmberg
slightly	ligeramente
more	más
quarter	tanteo
Opel	opel
together	juntos
General	general
Motors	motors
came	llegó
second	segundo
place	lugar
49,269	canje
16.4	xo
figure	figura
Third	tercer
Ford	ford
35,563	moa
or	o
11.7	mauri
Seat	asiento
Porsche	porsche
fewer	menos
compared	comparación
3,420	c»
5522	bbva
fell	cayó
554	iie
643	enlacealartículo
GREEK	griego
SOCIALISTS	socialistas
GIVE	dar
GREEN	green
LIGHT	luz
TO	a
PM	pm
FOR	para
ELECTIONS	elecciones
ATHENS	atenas
Greek	griego
socialist	socialista
party	socialdemócrata
bureau	oficina
green	verde
light	luz
Prime	ministro
Costas	papadopoulos
Simitis	pasok
snap	snap
elections	elecciones
its	su
general	general
secretary	secretario
Skandalidis	panagiotis
reporters	reporteros
announcement	anuncio
cabinet	gabinete
later	tarde
Dimitris	dimitris
Kontogiannis	nikos
Athens	atenas
Newsroom	msnbc
+301	urso
3311812-4	tas
BayerVB	bayer
sets	sets
C$	dólares
100	didi
million	millones
six-year	pnud/
bond	bond
following	siguiente
announced	anunció
manager	manager
Toronto	toronto
Dominion	dominion
BORROWER	deudor
BAYERISCHE	bayerische
VEREINSBANK	dresdner
AMT	amt
MLN	clp
COUPON	cupón
6.625	—también
MATURITY	madurez
24.SEP.02	sept
TYPE	tipo
STRAIGHT	apretado
ISS	es
PRICE	precio
100.92	este»
PAY	pagar
DATE	fecha
24.SEP.96	sept
FULL	full
FEES	pagos
1.875	ob
REOFFER	daley
99.32	dd
SPREAD	propagó
+20	app
BP	bp
MOODY	mcloughlin
AA1	aaa
LISTING	listados
LUX	lux
FREQ	frequency
=	satur
S&P	nasdaq
DENOMS	denominaciones
K	k
1-10-100	señor
SALE	compra
LIMITS	límites
US	us
UK	uk
CA	ca
NEG	spc
PLG	rw
NO	#si
CRS	crs
DEFLT	lapsus
FORCE	fuerza
MAJ	tte
GOV	gov
LAW	leyes
GERMAN	alemán
HOME	casa
CTRY	krc
TAX	impuestos
PROVS	troms
STANDARD	estándar
MGT	isc
UND	und
0.275	rapp
SELL	vender
CONC	moles
1.60	ager
PRAECIP	pontificum
UNDERLYING	subyacente
GOVT	agn
BOND	bond
7.0	§
PCT	pct
SEPT	sept
2001	þ
NOTES	notas
IS	es
JOINT	joint
LEAD	memo
MANAGER	gerente
+44	iti
171	klondike
542	●
7658	–a
Venantius	eutropio
300	fs
1999	gaytán
FRN	fre
floating-rate	flotante
Lehman	lehman
Brothers	hermanos
International	internacional
VENANTIUS	eutropio
AB	ab
SWEDISH	sueco
NATIONAL	nacional
MORTGAGE	hipotecas
AGENCY	agencia
-	-
12.5	davi
21.JAN.99	jan
BASE	base
3M	kz
LIBOR	libor
S23.SEP.96	epp
LAST	última
AA3	aaa
99.956	kelvin
AA+	b+
S	s
SHORT	corto
FIRST	primer
JP	jp
FR	fr
YES	ok
IPMA	aenor
2	noe
ENGLISH	ingles
SWEDEN	suecia
5	real»
ISSUED	ignoró
OFF	de
EMTN	tce
PROGRAMME	programa
8863	sf
Port	port
update	actualizar
Syria	siria
Lloyds	bank
Shipping	cabotaje
Intelligence	inteligencia
Service	servicio
LATTAKIA	alepo
Aug	edit
waiting	esperando
Lattakia	latakia
Tartous	latakia
presently	actualmente
24	upr
Israel	israel
plays	juega
down	down
fears	temores
war	guerra
Colleen	colleen
Siegel	siegel
JERUSALEM	jerusalén
outgoing	saliente
peace	paz
current	actual
tensions	tensiones
between	entre
appeared	apareció
storm	tormenta
teacup	pudding
Itamar	eliezer
Rabinovich	rabinovich
ambassador	embajador
Washington	washington
conducted	realizado
unfruitful	fructífera
negotiations	negociaciones
Radio	radio
looked	parecía
like	parecido
Damascus	damasco
wanted	quería
talk	discusión
rather	sino
fight	pelea
appears	aparece
me	me
Syrian	sirio
priority	prioridad
still	todavía
negotiate	negociar
Syrians	sirios
confused	confundido
they	éstos
definitely	creo
tense	subjuntivo
assessment	evaluación
here	aquí
essentially	esencialmente
winding	zigzag
term	término
will	pueda
replaced	reemplazado
Eliahu	shmuel
Ben-Elissar	golan
Israeli	israelí
envoy	embajador
Egypt	egipto
right-wing	ala
Likud	likud
politician	político
sent	enviado
message	mensaje
via	vía
committed	cometido
open	abierto
without	sin
preconditions	condicionales
slammed	golpeó
creating	creando
what	qué
called	llamado
launching	lanzamiento
hysterical	histérica
campaign	campaña
against	contra
television	televisión
reported	reportó
recently	recientemente
test	test
fired	dispararon
missile	misil
arms	escudo
purchases	compra
defensive	defensivo
purposes	propósitos
Hafez	hafez
al-	ali
Assad	asad
ready	listo
enter	entrar
David	david
Levy	cohen
Tension	tensión
mounted	montada
since	ya
Benjamin	benjamin
Netanyahu	netanyahu
took	tomó
June	abril
vowing	prometiendo
retain	retener
Golan	golán
Heights	heights
captured	capturado
Middle	mediana
East	oeste
Israeli-Syrian	sirias
deadlocked	endisputa
over	entre
1991	ː
despite	pesar
previous	anteriores
willingness	voluntad
concessions	concesiones
Peace	paz
February	noviembre
voices	voces
coming	entrando
out	cuando
bad	bad
not	no
good	buen
full	full
expressions	expresiones
declarations	declaración
must	deberá
worrying	pensando
artificial	artificial
very	muy
those	aquellos
spread	propagó
become	convertirse
prisoners	prisioneros
expect	digamos
face	cara
answer	contestar
our	nuestras
want	quieren
God	dios
forbid	prohibir
No	no
one	uno
benefits	beneficios
wars	guerras
Channel	canal
Two	dos
calming	calmada
signal	señal
source	fuente
spokesmen	vocero
confirm	confirmar
messages	mensaje
reassure	tranquilizar
Cairo	cairo
United	unidos
States	estados
Moscow	moscú
Polish	polaco
diplomat	diplomático
denies	niega
nurses	enfermeras
stranded	varados
Libya	libia
TUNIS	túnez
tabloid	tabloide
refusing	negándose
exit	salida
visas	visas
trying	intentando
return	retorno
home	casa
working	trabajando
North	norte
African	africano
country	país
This	este
true	verdadera
Up	se
today	hoy
knowledge	conocimiento
nurse	enfermera
kept	mantenido
her	ella
received	recibió
complaint	queja
embassy	embajada
charge	cargo
d'affaires	affaires
Tripoli	trípoli
Tadeusz	tadeusz
Awdankiewicz	mankiewicz
telephone	telefónica
Poland	polonia
labour	laborista
would	pudiera
send	enviar
team	equipo
investigate	investigar
probe	sondas
prompted	motivó
complaining	quejado
about	acerca
work	trabajo
non-payment	pagos
salaries	sueldos
estimated	estima
800	adv
Iranian	iraní
opposition	oposición
leaders	líderes
meet	cumplir
Baghdad	bagdad
Hassan	hassan
Hafidh	habib
BAGHDAD	bagdad
An	un
exile	exilio
based	basado
Iraq	irak
vowed	prometió
extend	extender
Iran	irán
Kurdish	kurdo
rebels	rebeldes
attacked	atacado
troops	tropas
deep	profundo
inside	afuera
Mujahideen	muyahidines
Khalq	baaz
statement	afirmación
leader	líder
Massoud	sharif
Rajavi	amín
met	conoció
Secretary-General	secretario
Kurdistan	kurdistán
Democratic	democrático
Party	partido
KDPI	nusra
Rastegar	iskandar
voiced	voz
rebel	rebelde
Kurds	kurdos
emphasised	enfatizado
Resistance	resistencia
continue	continuar
stand	sentarse
side	lado
compatriots	compatriotas
resistance	resistencia
movement	movimiento
signals	señales
level	nivel
cooperation	cooperación
oppositions	posturas
heavily	fuertemente
bombarded	bombardeando
targets	objetivos
northern	norte
pursuit	persecución
guerrillas	guerrilleros
Iraqi	iraquí
areas	áreas
outside	fuera
control	control
bordering	lindando
Patriotic	patriótica
PUK	pkk
KDP	mnr
main	principal
factions	facciones
forces	fuerzas
ousted	depuesto
Kuwait	kuwait
Gulf	golfo
War	guerra
Clashes	enfrentamientos
parties	coaliciones
broke	rompió
weekend	semana
most	más
serious	serios
fighting	combate
U.S.-sponsored	patrocinado
ceasefire	armisticio
shelling	cañoneo
positions	posiciones
Qasri	nasir
region	región
Suleimaniya	barzani
near	cerca
border	fronteriza
days	días
killed	mató
wounded	herido
attack	ataque
Both	ambos
Turkey	turquía
mount	monte
air	aire
land	tierras
strikes	golpeando
own	propia
U.S.-led	empujaron
force	fuerza
southern	norte
protects	protege
possible	posible
attacks	ataques
Saudi	saudí
riyal	dinares
rates	tasas
steady	constante
quiet	tranquila
summer	verano
trade	comercio
MANAMA	manama
spot	lugar
dollar	dólar
interbank	interbank
deposit	depósitos
mainly	principalmente
dealers	compradores
kingdom	reino
There	hay
changes	cambios
market	mercado
holidays	vacaciones
dealer	vendedor
3.7504	mayday
06	ii»
One-month	mes
deposits	depósitos
5-1/2	proteo
3/8	cicero
three	tres
months	meses
5-5/8	lso
1/2	§
six	seis
5-3/4	–el
5/8	thaler
One-year	pnud/
funds	fondos
5-7/8	bg
approves	aprueba
Arafat	arafat
flight	vuelo
West	oeste
Bank	banco
Palestinian	palestinos
Yasser	yasser
permission	permiso
fly	volar
territory	territorio
ending	terminando
brief	breve
Israeli-PLO	israelí
crisis	crisis
adviser	asesor
problem	problema
president	presidente
aircraft	aviones
pass	pass
airspace	aéreo
expected	esperado
travel	viajar
before	antes
Monday	lunes
Nabil	nabil
Abu	abu
Rdainah	salim
scheduled	programado
prime	ministro
minister	ministro
Shimon	shimon
Peres	peres
town	localidad
Ramallah	damasco
venue	coliseo
changed	cambiado
Gaza	gaza
clearance	atf
helicopters	helicópteros
stop	detenerse
keeping	mantener
grounded	anclado
subsequently	posteriormente
cancelled	cancelado
PLO	olp
civilian	civiles
affairs	asuntos
Allenby	allenby
Bridge	puente
crossing	cruce
Jordan	jordan
decided	decidió
flying	volando
lifted	suspendido
busy	ratos
schedule	fechas
free	libre
Palestinians	palestinos
barred	vetado
Erez	shmuel
checkpoint	bab
planned	planeado
overflying	sobrevolar
helicopter	helicóptero
attempt	intento
bar	bar
defeated	derrotado
May	relistada
undermine	socavar
authority	autoridad
conduct	conducta
Afghan	afgano
UAE	emiratos
Taleban	karzai
guards	guardias
Hilary	hilary
Gush	beit
DUBAI	dubái
Three	tres
Arab	árabes
Emirates	emiratos
Russian	ruso
hostages	rehenes
escaped	escapó
militia	milicia
Afghanistan	afganistán
few	bastantes
Dhabi	dabi
Our	nuestras
touch	tacto
Their	sus
issuing	autorizando
them	ellos
documents	documentos
homeland	patria
objection	objeción
added	añadido
Islamic	islámica
overpowered	malherido
seven	siete
aircrew	usaaf
Sharjah	sharjah
Friday	viernes
board	directivo
captivity	cautiverio
Kandahar	kandahar
hand	mano
Red	roja
Crescent	crescent
possibly	posiblemente
Tuesday	miércoles
silent	mudo
When	cuando
asked	pidió
back	atrás
capital	capital
Kabul	kabul
That	que
headquarters	sede
controlled	controlado
Burhanuddin	mohammad
Rabbani	ghulam
overthrow	derrocar
men	hombres
20s	kz
currently	actualmente
did	pudo
elaborate	ricamente
Russians	rusos
Aerostan	aviónica
firm	consultoría
republic	república
Tatarstan	tartaristán
hostage	rehenes
MiG-19	mig
fighter	fighter
forced	forzado
cargo	carguero
plane	avión
August	agosto
shipment	cargamento
ammunition	municiones
Albania	albania
evidence	evidencia
military	militar
crew	tripulación
nationality	nacionalidad
coincidental	coincidencia
Numerous	numerosas
diplomatic	diplomáticas
attempts	intentos
failed	falló
armed	armados
Kalashnikov	tokarev
automatic	automática
rifles	rifles
doing	eso
regular	regular
maintenance	mantenimiento
Ilyushin	ilyushin
76	ob
left	dejado
Sunday	sunday
Saddam	saddam
meets	llega
Russia	rusia
Zhirinovsky	putin
Hussein	husein
ultra-nationalist	país
Vladimir	vladimir
maintain	mantener
friendship	amistad
newspapers	periódicos
stressed	consonancia
during	durante
keenness	audacia
papers	publicaciones
Liberal	liberal
Duma	duma
parliament	parlamento
calling	llamando
immediate	inmediata
lifting	levantando
embargo	moratoria
imposed	impuestas
1990	uber
invasion	invasión
press	press
help	ayudar
U.N.	hug
sanctions	sanciones
blamed	culpó
delaying	retrasar
establishment	establecimiento
ties	lazos
namely	y
economic	económico
resume	reanudar
visited	visitó
twice	veces
Last	última
October	septiembre
invited	invitó
attend	asistir
referendum	referéndum
presidency	presidencia
extended	ampliado
years	años
PRESS	press
DIGEST	digest
22	bcs
These	consistentes
leading	uniéndose
stories	historias
verified	verificado
these	estas
does	debe
vouch	verificarlo
accuracy	precisión
THAWRA	nusra
liberal	liberal
democratic	democrático
Turkish	turco
part	parte
fair	fair
November	septiembre
IRAQ	iraq
shipload	cargamento
12	urso
rice	arroz
arrives	llega
Umm	umm
Qasr	qasr
port	port
Lebanon	líbano
BEIRUT	beirut
Beirut	beirut
AN-NAHAR	halim
Confrontation	confrontación
escalating	recrudecimiento
Hizbollah	hezbollah
Hariri	hariri
threats	amenazas
serve	servir
AS-SAFIR	fateh
Parliament	parlamento
Speaker	orador
Berri	jalil
preparing	preparando
Parliamentary	parlamentario
battle	batalla
..	.
lists	anexos
prepared	preparado
AL-ANWAR	mohd
Continued	continuó
criticism	críticas
law	leyes
violation	violación
incidents	incidentes
occurred	ocurrió
Mount	mount
AD-DIYAR	sahib
Financial	financiera
Pakistan	pakistán
step	pasos
election	elecciones
incomplete	incompleto
list	lista
NIDA'A	nida
AL-WATAN	bani
Maronite	maronita
Patriarch	patriarca
Sfeir	ancira
sorrow	tristeza
violations	violaciones
CME	ciap
live	live
feeder	alevines
calls	advierte
range	gama
mixed	mixtas
CHICAGO	chicago
Early	inicios
futures	futures
ranged	oscilaba
0.200	lc
cent	ciento
higher	superiores
0.100	eden
lower	inferior
livestock	rebaños
analysts	analistas
continued	continuó
strong	fuerte
tone	tono
cash	dinero
markets	mercados
prompt	pronta
Outlook	outlook
bullish	enron
cattle-on-feed	alimentar
lend	prestarse
bull	bull
spreading	propagar
However	pero
likely	probablemente
prices	precios
drift	drift
evening	mañana
ahead	liderato
Cash	dinero
record	record
amount	cantidad
feedlot	piensos
traded	canjeado
Kindercare	kinder
debt	deuda
hit	hit
Q1	gaytán
results	resultados
MONTGOMERY	montgomery
Ala	ei
KinderCare	care
Learning	aprendizaje
Centers	centros
Inc	inc
buyback	compra
mean	decir
extraordinary	extraordinario
loss	pérdida
1.2	bozo
fiscal	endeudamiento
1997	ob
first	primer
company	compañía
began	comenzó
1	ː
30	enlacealartículo
par	ils
value	valor
outstanding	mejor
10-3/8	pearson
notes	notas
31.5	ob
Philip	philip
Maslowe	maslow
financial	financiera
officer	comandante
preschool	preescolar
child	niño
care	cuidado
offered	ofrecido
opportunity	oportunidad
reduce	reducir
weighted	ponderada
average	promedio
interest	interés
costs	costos
improve	mejorar
future	futuro
flows	fluye
earnings	ganancias
RESEARCH	investigación
ALERT	alerta
starts	termina
SNET	telecom
analyst	analista
Blake	blake
Bath	bath
started	inició
Southern	norte
New	nueva
England	inglaterra
Telecommunciations	aclaraciones
Corp	corp
outperform	rendimiento
rating	calificación
12-month	mes
price	precio
target	target
45	moa
estimate	estimación
3.09	enlacealartículo
per	per
share	compartir
immediately	inmediatamente
available	disponible
closed	cerrada
38-1/2	supra
E.	ob
Auchard	vilmorin
Wall	pared
Street	street
212-859-1736	macondo
Gateway	gateway
Data	datos
Sciences	ciencias
Q2	dóriga
net	net
rises	eleva
PHOENIX	phoenix
Summary	resumen
Consolidated	consolidated
In	en
Thousands	cientos
except	excepto
data	datos
Six	seis
Months	meses
Ended	terminó
Quarter	final
Jul	edit
31	ob
Income	ingresos
Statement	afirmación
Total	total
Revenue	ingresos
10,756	ii»
13,102	vetusta
7,961	desacato
5,507	ii»
Software	software
2,383	raab
1,558	aras
1,086	eo
1,074	–el
Services	servicios
1,154	–el
692	blogueros
624	demandaron
465	moa
Operating	operando
906	­
962	magna
599	koo
515	real»
Net	net
821	tojo
512	meros
565	iras
301	rv
Earnings	ganancias
Per	per
Share	compartir
0.31	foe
0.34	foe
0.19	ña
0.20	eno
Jan	jan
Balance	equilibrar
Sheet	kut
Working	trabajando
Capital	capital
5,755	ccm
881	kampf
Equivalents	equivalentes
2,386	intl
93	agg
Assets	corporaciones
14,196	cor
7,138	volk
Shareholders	accionistas
Equity	equity
5,951	moa
1,461	landis
socialists	socialistas
give	dar
backing	coros
chooses	escoge
Le	quartier
Monde	monde
PARIS	parís
afternoon	mañana
daily	diaria
dated	fechado
23	imo
FRONT	trasera
PAGE	subpágina
Africans	africanos
seeking	busca
renew	renovar
obtain	obtener
residence	residencia
rights	derechos
say	decirnos
Alain	alain
Juppe	viel
proposals	propuestas
insufficient	insuficiente
hunger	hambre
strike	huelga
enters	entra
49th	ath
day	día
Paris	parís
church	iglesia
rally	impreza
attracts	atrae
8,000	cicero
sympathisers	simpatizantes
FLNC	fln
Corsican	corsos
nationalist	nacionalista
announces	anuncia
truce	tregua
night	noche
BUSINESS	negocios
PAGES	páginas
Shutdown	apagón
Bally	bally
French	francés
factories	fábricas
points	puntos
shoe	zapatos
industry	industria
undercut	socavar
low-wage	salarios
competition	competencia
failure	fracaso
keep	bórrese
abreast	estribor
trends	tendencias
Secretary	secretario
Sud-PTT	suda
union	unión
Telecom	telecom
elements	elementos
social	social
unrest	disturbios
weeks	semanas
+33	balloon
42	ob
21	nacha
53	hj
81	þ
Well	así
repairs	reparaciones
lift	levantar
Heidrun	möller
oil	petróleo
output	potencia
Statoil	offshore
OSLO	oslo
plugged	enchufe
water	agua
injection	inyección
wells	wells
oilfield	petrolífera
off	accidentalmente
mid-Norway	noruega
reopened	reabrió
operator	operador
Den	den
Norske	norske
Stats	estadísticas
Oljeselskap	norske
AS	como
accounted	ciento
dip	picón
30,000	principal
barrels	barriles
bpd	tlp
roughly	aproximadamente
220,000	bcs
according	según
Status	estatus
Weekly	semanal
newsletter	newsletter
reperforated	perforada
gravel	grava
pumped	bombea
reservoir	embalse
plugging	búfer
problems	problemas
Oslo	oslo
newsroom	noticieros
+47	rect
50	lou
41	montepío
Finnish	finlandés
April	abril
surplus	excedentes
3.8	saul
billion	billones
markka	rublo
NCB	afe
HELSINKI	helsinki
Finland	finlandia
3.83	ob
3.43	ob
Customs	costumbres
Board	board
exports	exportaciones
year-on-year	año
Trade	comercio
balance	equilibrar
96	ob
Jan-April	abril
95	hy
Imports	importación
10,663	mens
10,725	léase
43,430	ob
40,989	heck
Exports	exportaciones
14,494	–el
14,153	moa
56,126	agri
56,261	altus
+3,831	papi
+3,428	beazley
+12,696	deshizo
+15,272	–el
January-April	abril
import	importación
revised	revisada
39,584	ob
export	exportación
55,627	rareza
3.2	lc
projected	proyectado
14.5	ia
11.3	‡
monthly	mensual
statistics	estadísticas
lagging	estabilidad
behind	detrás
customs	aduanas
procedures	procedimientos
when	cuando
joined	unió
start	terminar
Helsinki	helsinki
+358	papi
0	ob
680	cicero
245	noe
Dutch	holandés
raises	apoya
tap	tap
sale	compra
99.95	kelvin
AMSTERDAM	ámsterdam
Finance	finanzas
raised	creció
sales	ventas
5.75	gilbert
September	septiembre
2002	ob
99.90	·
Tap	tap
being	siendo
07.00	ere
GMT	gmt
15.00	td
notice	cartelito
2.3	—junto
guilders	florines
close	cercano
Amsterdam	ámsterdam
+31	aló
20	foe
504	–el
5000	rein
tells	confiesa
BONN	bonn
Agriculture	agricultura
meat	carne
animals	animales
Until	hasta
cleared	despeje
panels	paneles
done	gustado
quickly	rápidamente
preference	preferencia
ZDF	zdf
I	debo
concrete	hormigón
too	demasiado
many	muchos
holes	agujeros
know	saber
filled	llenar
ensure	garantizar
protection	protección
tops	tops
priorities	prioridades
dealing	cuestiones
erupted	estallaron
acknowledged	reconoció
rethink	repensar
use	uso
suspect	sospecho
tissue	tisular
experts	expertos
banning	prohibir
members	miembros
given	dado
question	cuestión
studied	estudió
separately	separadamente
perfectly	perfectamente
safe	seguro
eat	comer
After	después
admitted	admitido
link	info
fatal	fatal
equivalent	equivalente
worldwide	mundialmente
summit	cumbre
progressive	progresivo
takes	toman
parallel	paralelo
eradicate	erradicar
GOLF	golf
SCORES	puntuaciones
AT	en
WORLD	mundial
SERIES	serie
OF	de
AKRON	akron
Ohio	ohio
Scores	puntuaciones
2.1	titi
NEC	nec
World	mundial
Series	serie
Golf	golf
round	ronda
7,149	bacca
yard	yardas
70	ob
Firestone	firestone
C.C	cía
course	curso
players	jugadores
unless	si
stated	afirmó
66	tojo
Paul	paul
Goydos	jimmie
Billy	billy
Mayfair	pinewood
Hidemichi	takamatsu
Tanaka	tanaka
Japan	japón
68	tojo
Steve	steve
Stricker	danielson
69	—hasta
Justin	justin
Leonard	leonard
Mark	mark
Brooks	zandt
Tim	tim
Herron	ward
Duffy	leblanc
Waldorf	waldorf
Davis	davis
Love	amor
Anders	anders
Forsbrand	kjetil
Sweden	suecia
Nick	nick
Faldo	flack
Cook	cook
Phil	phil
Mickelson	pettit
Greg	greg
Norman	norman
Australia	australia
71	–el
Ernie	jimmy
Els	pego
South	norte
Africa	áfrica
Scott	stewart
Hoch	hoch
72	proxima
Clarence	clarence
Rose	rose
Loren	lauren
Roberts	roberts
